epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,258.05,1.4577,0.97648,0.00306,0.86514,0.80001,0.90338,0.59932,1.37997,0.84994,0.00434,0.00105161,0.00105161,0.00105161
56,261.903,1.4833,0.97686,0.00294,0.79351,0.82019,0.89005,0.58455,1.42411,0.86407,0.0045,0.00105051,0.00105051,0.00105051
57,265.835,1.55559,1.00571,0.00307,0.85859,0.7364,0.87463,0.56846,1.42901,0.91475,0.00449,0.00104941,0.00104941,0.00104941
58,270.915,1.50909,0.97422,0.00294,0.82831,0.76882,0.87614,0.57767,1.41861,0.88388,0.00453,0.00104831,0.00104831,0.00104831
59,274.834,1.53486,0.95953,0.00302,0.77259,0.83812,0.88544,0.58523,1.4031,0.86708,0.00449,0.00104721,0.00104721,0.00104721
60,278.893,1.50099,0.95705,0.00294,0.77212,0.83152,0.8862,0.59373,1.38233,0.84007,0.00435,0.00104611,0.00104611,0.00104611
61,283.884,1.47106,0.9818,0.00295,0.78921,0.82658,0.8751,0.56762,1.46575,0.88609,0.00452,0.00104501,0.00104501,0.00104501
62,287.736,1.50033,0.9393,0.0031,0.80791,0.81631,0.86972,0.57398,1.42188,0.88354,0.00446,0.00104391,0.00104391,0.00104391
63,291.666,1.50642,0.9328,0.00296,0.81302,0.80282,0.87324,0.5473,1.54789,0.91249,0.00478,0.00104281,0.00104281,0.00104281
64,296.822,1.55584,0.93205,0.00306,0.83011,0.82875,0.87309,0.58639,1.40193,0.87766,0.00435,0.00104171,0.00104171,0.00104171
65,300.767,1.4622,0.90967,0.00298,0.90535,0.8112,0.90611,0.6019,1.35122,0.83243,0.00427,0.00104061,0.00104061,0.00104061
66,304.873,1.5225,0.88881,0.00295,0.8343,0.8342,0.90169,0.60964,1.38566,0.80193,0.00434,0.00103951,0.00103951,0.00103951
67,310.275,1.48905,0.89525,0.00299,0.83477,0.84667,0.90048,0.59407,1.403,0.83875,0.00442,0.00103841,0.00103841,0.00103841
68,314.131,1.48566,0.89639,0.00292,0.84607,0.83716,0.90697,0.60694,1.36585,0.8196,0.00425,0.00103731,0.00103731,0.00103731
69,318.127,1.49606,0.92974,0.00293,0.83197,0.81694,0.88801,0.55488,1.60489,0.8314,0.00498,0.00103621,0.00103621,0.00103621
70,323.231,1.48398,0.89294,0.00311,0.94013,0.75299,0.89765,0.60809,1.36156,0.84328,0.00428,0.00103511,0.00103511,0.00103511
71,327.249,1.50369,0.91602,0.00296,0.85084,0.85318,0.90821,0.60975,1.3743,0.81641,0.00422,0.00103401,0.00103401,0.00103401
72,331.226,1.44698,0.85984,0.00298,0.89864,0.88471,0.91372,0.60944,1.38448,0.79888,0.00423,0.00103291,0.00103291,0.00103291
